customer_id,ages,genders,marital_status,no_of_childrens,education_Level,annual_income,number_of_accounts,total_credit_line
2661066,67,Female,1,0,2,100672.0,2,20134.4
3848565,33,Female,1,0,0,44928.0,2,8985.6
5801450,68,Female,1,4,0,59488.0,6,35692.8
1041736,56,Male,1,1,1,75296.0,3,22588.800000000003
9545654,33,Male,1,0,2,86528.0,2,17305.6
1335852,78,Male,0,3,1,84448.0,4,33779.2
8148436,73,Male,0,1,2,103168.0,2,20633.6
2818414,54,Male,0,2,2,95264.0,3,28579.199999999997
1085532,22,Male,1,0,2,81952.0,2,16390.4
4852865,72,Male,1,0,2,102752.0,2,20550.4
3890392,48,Female,0,1,1,71968.0,2,14393.6
7601486,76,Male,1,1,1,83616.0,3,25084.800000000003
6529026,77,Female,1,1,2,104832.0,3,31449.600000000002
3103036,44,Male,1,3,0,49504.0,5,24752.0
2292693,40,Male,1,0,2,89440.0,2,17888.0
4241233,50,Male,1,2,1,72800.0,4,29120.0
7187347,23,Male,1,0,0,40768.0,2,8153.6
4283793,30,Female,1,2,2,85280.0,4,34112.0
1836047,63,Male,0,4,1,78208.0,5,39104.0
5240730,57,Female,1,3,1,75712.0,5,37856.0
8215341,79,Female,0,2,2,105664.0,3,31699.199999999997
6714900,32,Male,0,2,3,106912.0,3,32073.600000000002
8326192,52,Female,0,3,0,52832.0,4,21132.8
8680162,30,Female,0,2,1,64480.0,3,19344.0
8472618,64,Female,0,3,2,99424.0,4,39769.6
3627236,67,Female,1,1,1,79872.0,3,23961.6
8624627,33,Female,1,0,2,86528.0,2,17305.6
9517632,44,Female,0,3,1,70304.0,4,28121.6
4431027,55,Female,1,2,1,74880.0,4,29952.0
8471447,42,Male,1,4,0,48672.0,6,29203.199999999997
7366148,46,Male,0,2,1,71136.0,3,21340.800000000003
5848663,67,Male,1,4,2,100672.0,6,60403.200000000004
8551789,60,Male,0,1,1,76960.0,2,15392.0
2440704,62,Female,1,2,1,77792.0,4,31116.8
3188549,20,Female,0,0,1,60320.0,1,6032.0
3898945,44,Female,0,3,2,91104.0,4,36441.6
7226385,54,Male,0,1,1,74464.0,2,14892.8
4056399,39,Female,0,1,1,68224.0,2,13644.8
1848333,64,Male,1,1,1,78624.0,3,23587.199999999997
8460048,72,Male,1,3,1,81952.0,5,40976.0
3375490,52,Male,1,1,1,73632.0,3,22089.6
1532833,55,Female,1,2,3,116480.0,4,46592.0
2372558,41,Male,1,3,2,89856.0,5,44928.0
6946534,45,Female,0,1,1,70720.0,2,14144.0
3274414,72,Female,0,2,1,81952.0,3,24585.600000000002
3214469,42,Male,0,2,2,90272.0,3,27081.600000000002
4675579,69,Female,1,2,1,80704.0,4,32281.6
3901069,33,Female,1,0,2,86528.0,2,17305.6
